OBJECTID;planid;name;datum;scanurl;kategorie;katart;klassifins;Bezeichnun;URL2;X_ETRS89;Y_ETRS89;kurzbe
689;DE_05911000_A297;Gudrunstr. 41;1994-01-28;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A297.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A297.jpg;377123;5706268;Wohnhaus / Geschäftshaus
690;DE_05911000_A540;Günnigfelder Str. 30;2003-01-20;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A540.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A540.jpg;371075;5706401;Wohnhaus / Geschäftshaus
691;DE_05911000_A541;Günnigfelder Str. 39;2003-01-20 ;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A541.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A541.jpg;371088;5706321;Wohnhaus / Geschäftshaus
692;DE_05911000_A250;Günnigfelder Str. 59;1991-12-10;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A250.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A250.jpg;371235;5706410;Wohnhaus / Geschäftshaus
693;DE_05911000_A475;Haarstr. 251 a;1999-01-07;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A475.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/AKeinBild.jpg;379275;5699918;Wohnhaus / Geschäftshaus
694;DE_05911000_A159;Hagenstr. 2;1990-09-20;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A159.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A159.jpg;370394;5705036;Wohnhaus / Geschäftshaus
695;DE_05911000_A570;Hansastr. 150;2003-11-05;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A570.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A570.jpg;373243;5705286;Wohnhaus / Geschäftshaus
696;DE_05911000_A566;Hardenbergstr. 1;2003-11-05;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A566.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A566.jpg;370939;5704791;Wohnhaus / Geschäftshaus
697;DE_05911000_A567;Hardenbergstr. 3;2003-11-05;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A567.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A567.jpg;370937;5704777;Wohnhaus / Geschäftshaus
698;DE_05911000_A568;Hardenbergstr. 5;2003-11-05;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A568.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A568.jpg;370936;5704765;Wohnhaus / Geschäftshaus
